player_name,pitch_count,actual_strike_pct,expected_strike_pct,actual_strike_percentile,expected_strike_percentile,diff,PCTL_diff
"Jax, Griffin",716,0.3799,0.3517,100,100,-2.82%,0.00
"Hader, Josh",711,0.3755,0.3515,99.6296,99.6296,-2.40%,0.00
"Williams, Devin",664,0.3358,0.3362,95.1852,99.2593,0.04%,4.07
"Bird, Jake",883,0.3624,0.3358,98.8889,98.8889,-2.66%,0.00
"Sale, Chris",1356,0.3355,0.3342,94.8148,98.5185,-0.13%,3.70
"Detmers, Reid",816,0.3395,0.3331,96.2963,98.1481,-0.64%,1.85
"Hoffman, Jeff",684,0.3363,0.3325,95.5556,97.7778,-0.38%,2.22
"Skubal, Tarik",1806,0.3477,0.3296,97.7778,97.4074,-1.81%,-0.37
"Abreu, Bryan",772,0.3614,0.3279,98.5185,97.037,-3.35%,-1.48
"Whitlock, Garrett",792,0.3371,0.3269,95.9259,96.6667,-1.02%,0.74
"Lee, Dylan",731,0.3488,0.3252,98.1481,96.2963,-2.36%,-1.85
"Varland, Louis",671,0.301,0.3247,68.5185,95.9259,2.37%,27.41
"deGrom, Jacob",1755,0.3134,0.3245,82.2222,95.5556,1.11%,13.33
"Gray, Sonny",1702,0.3208,0.3229,88.8889,95.1852,0.21%,6.30
"Burnes, Corbin",973,0.3001,0.3198,67.5926,94.8148,1.97%,27.22
"Nola, Aaron",839,0.3063,0.3194,75.5556,94.4444,1.31%,18.89
"Flaherty, Jack",1797,0.3139,0.3188,83.1481,94.0741,0.49%,10.93
"Uribe, Abner",776,0.3454,0.3185,97.037,93.7037,-2.69%,-3.33
"Matz, Steven",862,0.3005,0.3184,68.1481,93.3333,1.79%,25.19
"Gilbert, Logan",1031,0.3327,0.318,93.3333,92.963,-1.47%,-0.37
"Uceta, Edwin",757,0.3236,0.3168,90.7407,92.5926,-0.68%,1.85
"Henriquez, Ronny",820,0.3354,0.3159,94.4444,92.2222,-1.95%,-2.22
"Bubic, Kris",1741,0.3171,0.3157,85.1852,91.6667,-0.14%,6.48
"Gaddis, Hunter",664,0.3163,0.3157,84.4444,91.6667,-0.06%,7.22
"Kerkering, Orion",668,0.3219,0.3154,89.6296,91.1111,-0.65%,1.48
"Webb, Logan",2080,0.3135,0.3145,82.5926,90.7407,0.10%,8.15
"Cease, Dylan",2011,0.3103,0.314,79.6296,90.3704,0.37%,10.74
"Ragans, Cole",755,0.3457,0.3135,97.4074,90,-3.22%,-7.41
"Bummer, Aaron",706,0.3187,0.3134,86.4815,89.6296,-0.53%,3.15
"Holton, Tyler",749,0.3044,0.3132,73.3333,89.2593,0.88%,15.93
"Okert, Steven",670,0.3224,0.3131,90,88.8889,-0.93%,-1.11
"Holmes, Grant",1867,0.2967,0.3127,63.7037,88.5185,1.60%,24.81
"Taillon, Jameson",1428,0.3025,0.3125,71.1111,88.1481,1.00%,17.04
"Leahy, Kyle",820,0.2939,0.3123,58.7037,87.7778,1.84%,29.07
"Montero, Keider",1122,0.2861,0.3117,44.2593,87.4074,2.56%,43.15
"Kinley, Tyler",851,0.3126,0.3116,81.1111,87.037,-0.10%,5.93
"Rodón, Carlos",2011,0.3217,0.3115,89.2593,86.6667,-1.02%,-2.59
"Crochet, Garrett",1999,0.3127,0.3105,81.4815,86.2963,-0.22%,4.81
"Freeland, Kyle",1580,0.2741,0.3098,28.5185,85.7407,3.57%,57.22
"Sánchez, Cristopher",1862,0.326,0.3098,92.5926,85.7407,-1.62%,-6.85
"Valdez, Framber",1824,0.3059,0.3096,75.1852,85.1852,0.37%,10.00
"Doval, Camilo",736,0.3016,0.3095,69.2593,84.4444,0.79%,15.19
"Horton, Cade",1141,0.2945,0.3095,60.3704,84.4444,1.50%,24.07
"Spence, Mitch",1145,0.2926,0.3095,56.2963,84.4444,1.69%,28.15
"De Los Santos, Enyel",719,0.2976,0.3092,65.1852,83.7037,1.16%,18.52
"Ortiz, Luis L.",1462,0.3187,0.3089,86.4815,83.3333,-0.98%,-3.15
"Clase, Emmanuel",706,0.3187,0.3086,86.4815,82.963,-1.01%,-3.52
"Anderson, Grant",841,0.3234,0.3082,90.3704,82.5926,-1.52%,-7.78
"Bachar, Lake",687,0.3159,0.308,84.0741,82.2222,-0.79%,-1.85
"Roupp, Landen",1672,0.3086,0.3079,78.1481,81.8519,-0.07%,3.70
"Ober, Bailey",1437,0.2895,0.3078,50.3704,81.4815,1.83%,31.11
"Schmidt, Clarke",1186,0.3019,0.3076,70.1852,81.1111,0.57%,10.93
"Schwellenbach, Spencer",1527,0.3189,0.3068,87.4074,80.7407,-1.21%,-6.67
"Peterson, David",1876,0.2964,0.3062,62.963,80.3704,0.98%,17.41
"Little, Brendon",864,0.3681,0.306,99.2593,80,-6.21%,-19.26
"Yamamoto, Yoshinobu",1758,0.3077,0.3059,77.037,79.6296,-0.18%,2.59
"Greene, Hunter",846,0.3239,0.3057,91.1111,79.2593,-1.82%,-11.85
"Gausman, Kevin",1961,0.2998,0.3054,67.037,78.8889,0.56%,11.85
"Schreiber, John",705,0.2965,0.3049,63.3333,78.5185,0.84%,15.19
"Estrada, Jeremiah",700,0.3243,0.3045,91.8519,78.1481,-1.98%,-13.70
"Meyer, Max",1003,0.3011,0.3041,68.8889,77.7778,0.30%,8.89
"Bazardo, Eduard",777,0.3192,0.304,88.1481,77.2222,-1.52%,-10.93
"Warren, Will",1875,0.3019,0.304,70.1852,77.2222,0.21%,7.04
"Ryan, Joe",1877,0.2978,0.3039,65.9259,76.6667,0.61%,10.74
"King, Bryan",692,0.328,0.3034,92.963,76.1111,-2.46%,-16.85
"Lauer, Eric",1086,0.3039,0.3034,72.2222,76.1111,-0.05%,3.89
"Armstrong, Shawn",704,0.3068,0.3025,75.9259,75.5556,-0.43%,-0.37
"Cecconi, Slade",1123,0.2912,0.3024,53.7037,75,1.12%,21.30
"Phillips, Tyler",767,0.3038,0.3024,71.8519,75,-0.14%,3.15
"Milner, Hoby",748,0.3035,0.3016,71.4815,74.2593,-0.19%,2.78
"Walter, Brandon",778,0.2892,0.3016,49.2593,74.2593,1.24%,25.00
"Smith, Cade",751,0.3329,0.3013,93.7037,73.7037,-3.16%,-20.00
"Morton, Charlie",1742,0.2974,0.3011,64.8148,73.1481,0.37%,8.33
"Pfaadt, Brandon",1866,0.2685,0.3011,18.5185,73.1481,3.26%,54.63
"Lugo, Seth",1800,0.2928,0.301,57.037,72.5926,0.82%,15.56
"Kirby, George",1117,0.2927,0.3005,56.6667,72.2222,0.78%,15.56
"Bibee, Tanner",1918,0.2977,0.3004,65.5556,71.8519,0.27%,6.30
"Adam, Jason",839,0.3194,0.3002,88.5185,71.4815,-1.92%,-17.04
"Wheeler, Zack",1952,0.3017,0.3001,69.6296,71.1111,-0.16%,1.48
"Brown, Ben",1367,0.3124,0.2998,80.7407,70.7407,-1.26%,-10.00
"Blanco, Ronel",763,0.3132,0.2997,81.8519,70.3704,-1.35%,-11.48
"Eovaldi, Nathan",1384,0.3056,0.2996,74.2593,70,-0.60%,-4.26
"Gordon, Colton",1012,0.2688,0.2995,18.8889,69.6296,3.07%,50.74
"Lodolo, Nick",1948,0.2859,0.2992,43.7037,69.0741,1.33%,25.37
"Walker, Ryan",664,0.3057,0.2992,74.8148,69.0741,-0.65%,-5.74
"Ferrer, Jose A.",746,0.2962,0.2986,62.5926,68.3333,0.24%,5.74
"Olson, Reese",1035,0.314,0.2986,83.7037,68.3333,-1.54%,-15.37
"Rogers, Trevor",767,0.2947,0.2985,61.1111,67.7778,0.38%,6.67
"Vest, Will",718,0.3092,0.2983,78.8889,67.4074,-1.09%,-11.48
"Koenig, Jared",667,0.3043,0.2982,72.963,66.8519,-0.61%,-6.11
